NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ADRENAL,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
ANUS,9,0,0.00,1,11.11,1,11.11,7,77.78,0,0.00
BILE,4,0,0.00,1,25.00,1,25.00,2,50.00,0,0.00
BILE DUCT,48,0,0.00,7,14.58,24,50.00,13,27.08,4,8.33
BONE,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
BRAIN,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
BREAST,58,0,0.00,2,3.45,11,18.97,44,75.86,1,1.72
BREAST NIPPLE DISCHARGE,12,0,0.00,0,0.00,3,25.00,9,75.00,0,0.00
BURSA,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
CEREBROSPINAL FLUID,215,8,3.72,10,4.65,19,8.84,176,81.86,1,0.47
COLON,11,0,0.00,3,27.27,5,45.45,2,18.18,1,9.09
ESOPHAGUS,9,0,0.00,0,0.00,0,0.00,7,77.78,0,0.00
FALLOPIAN TUBES AND OVARIES,20,0,0.00,3,15.00,1,5.00,16,80.00,0,0.00
FLUIDS AND OTHER,148,0,0.00,20,13.51,16,10.81,105,70.95,7,4.73
FOOT,17,0,0.00,0,0.00,0,0.00,17,100.00,0,0.00
GALLBLADDER,3,0,0.00,0,0.00,1,33.33,2,66.67,0,0.00
GI,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
GU,1945,0,0.00,13,0.67,340,17.48,1578,81.13,12,0.62
JOINT,14,0,0.00,0,0.00,1,7.14,12,85.71,1,7.14
KIDNEY,11,0,0.00,1,9.09,1,9.09,9,81.82,0,0.00
LIVER,35,0,0.00,17,48.57,2,5.71,16,45.71,0,0.00
LUNG,85,0,0.00,19,22.35,8,9.41,55,64.71,1,1.18
LYMPH NODE,685,3,0.44,169,24.67,57,8.32,412,60.15,40,5.84
MEDIASTINUM,2,0,0.00,0,0.00,1,50.00,1,50.00,0,0.00
MUSCLE,2,0,0.00,1,50.00,1,50.00,0,0.00,0,0.00
NECK,49,0,0.00,10,20.41,23,46.94,13,26.53,3,6.12
PANCREAS,161,0,0.00,103,63.98,24,14.91,31,19.25,3,1.86
PAROTID GLAND,58,0,0.00,3,5.17,13,22.41,32,55.17,9,15.52
PELVIC CAVITY,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
PELVIC FLUID,107,0,0.00,13,12.15,15,14.02,77,71.96,1,0.93
PERICARDIAL FLUID,40,0,0.00,6,15.00,4,10.00,29,72.50,1,2.50
PERITONEAL CAVITY,2,0,0.00,1,50.00,0,0.00,1,50.00,0,0.00
PERITONEAL FLUID,360,0,0.00,60,16.67,36,10.00,261,72.50,1,0.28
PERITONEUM,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PLEURA,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
PLEURAL CAVITY,3,0,0.00,1,33.33,1,33.33,1,33.33,0,0.00
PLEURAL FLUID,591,0,0.00,100,16.92,59,9.98,425,71.91,2,0.34
RESPIRATORY,388,2,0.52,69,17.78,54,13.92,246,63.40,15,3.87
SALIVARY GLANDS,32,0,0.00,4,12.50,10,31.25,12,37.50,6,18.75
SKIN,5,0,0.00,0,0.00,2,40.00,2,40.00,1,20.00
SMALL INTESTINE,5,0,0.00,2,40.00,0,0.00,1,20.00,2,40.00
SOFT TISSUE,20,0,0.00,5,25.00,0,0.00,12,60.00,2,10.00
SPINAL CORD,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
SPLEEN,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
STOMACH,7,0,0.00,1,14.29,2,28.57,2,28.57,2,28.57
SYNOVIAL FLUID,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
THYROID,1243,0,0.00,6,0.48,375,30.17,798,64.20,63,5.07
URETER,7,0,0.00,0,0.00,2,28.57,5,71.43,0,0.00
URINE,67,0,0.00,0,0.00,13,19.40,54,80.60,0,0.00
UTERINE CONTENTS,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
UTERUS,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
VAGINA,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
