NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ANUS,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
BILE,2,0,0.00,1,50.00,1,50.00,0,0.00,0,0.00
BILE DUCT,14,0,0.00,1,7.14,8,57.14,5,35.71,0,0.00
BONE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
BREAST,26,0,0.00,0,0.00,11,42.31,15,57.69,0,0.00
BREAST NIPPLE DISCHARGE,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
BURSA,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
CEREBROSPINAL FLUID,71,2,2.82,0,0.00,4,5.63,65,91.55,0,0.00
COLON,1,0,0.00,0,0.00,0,0.00,0,0.00,1,100.00
ESOPHAGUS,3,0,0.00,0,0.00,0,0.00,3,100.00,0,0.00
FALLOPIAN TUBES AND OVARIES,4,0,0.00,0,0.00,0,0.00,4,100.00,0,0.00
FLUIDS AND OTHER,19,0,0.00,1,5.26,4,21.05,13,68.42,1,5.26
FOOT,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
GU,489,0,0.00,2,0.41,61,12.47,426,87.12,0,0.00
JOINT,2,0,0.00,0,0.00,0,0.00,2,100.00,0,0.00
KIDNEY,2,0,0.00,0,0.00,1,50.00,1,50.00,0,0.00
LIVER,4,0,0.00,0,0.00,0,0.00,4,100.00,0,0.00
LUNG,23,0,0.00,3,13.04,1,4.35,19,82.61,0,0.00
LYMPH NODE,197,0,0.00,52,26.40,16,8.12,114,57.87,14,7.11
NECK,12,0,0.00,5,41.67,4,33.33,3,25.00,0,0.00
PANCREAS,36,0,0.00,17,47.22,7,19.44,12,33.33,0,0.00
PAROTID GLAND,12,0,0.00,2,16.67,4,33.33,4,33.33,2,16.67
PELVIC FLUID,32,0,0.00,6,18.75,2,6.25,24,75.00,0,0.00
PERICARDIAL FLUID,9,0,0.00,0,0.00,1,11.11,8,88.89,0,0.00
PERITONEAL CAVITY,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
PERITONEAL FLUID,84,0,0.00,14,16.67,7,8.33,62,73.81,1,1.19
PERITONEUM,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
PLEURAL CAVITY,2,0,0.00,1,50.00,0,0.00,1,50.00,0,0.00
PLEURAL FLUID,150,0,0.00,28,18.67,11,7.33,111,74.00,0,0.00
RESPIRATORY,95,0,0.00,22,23.16,25,26.32,45,47.37,2,2.11
SALIVARY GLANDS,7,0,0.00,0,0.00,2,28.57,3,42.86,2,28.57
SKIN,3,0,0.00,0,0.00,2,66.67,1,33.33,0,0.00
SMALL INTESTINE,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
SOFT TISSUE,5,0,0.00,2,40.00,1,20.00,2,40.00,0,0.00
STOMACH,2,0,0.00,0,0.00,0,0.00,1,50.00,1,50.00
THYROID,405,0,0.00,0,0.00,98,24.20,295,72.84,12,2.96
TRACHEA,1,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00
URETER,3,0,0.00,0,0.00,1,33.33,2,66.67,0,0.00
URETHRA,1,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00
URINE,4,0,0.00,0,0.00,1,25.00,3,75.00,0,0.00
