NAME,TOTAL,NORMAL,NORMAL_AVG,MALIGNANT,MALIGNANT_AVG,ATYPICAL,ATYPICAL_AVG,BENIGN,BENIGN_AVG,NON_DIAGNOSTIC,NON_DIAGNOSTIC_AVG
ANUS,5,0,0,1,20,0,0,4,80,0,0
BILE DUCT,7,0,0,1,14.29,4,57.14,2,28.57,0,0
BREAST,13,0,0,0,0,1,7.69,12,92.31,0,0
BREAST NIPPLE DISCHARGE,4,0,0,0,0,1,25,3,75,0,0
CEREBROSPINAL FLUID,51,2,3.92,2,3.92,5,9.8,41,80.39,0,0
COLON,3,0,0,2,66.67,1,33.33,0,0,0,0
ESOPHAGUS,4,0,0,0,0,0,0,2,50,0,0
FALLOPIAN TUBES AND OVARIES,7,0,0,2,28.57,0,0,5,71.43,0,0
FLUIDS AND OTHER,46,0,0,9,19.57,9,19.57,24,52.17,4,8.7
FOOT,3,0,0,0,0,0,0,3,100,0,0
GU,526,0,0,4,0.76,78,14.83,439,83.46,3,0.57
JOINT,4,0,0,0,0,0,0,3,75,1,25
KIDNEY,3,0,0,0,0,0,0,3,100,0,0
LIVER,15,0,0,8,53.33,0,0,7,46.67,0,0
LUNG,30,0,0,5,16.67,3,10,20,66.67,0,0
LYMPH NODE,194,3,1.55,51,26.29,16,8.25,114,58.76,6,3.09
MUSCLE,1,0,0,0,0,1,100,0,0,0,0
NECK,15,0,0,4,26.67,7,46.67,4,26.67,0,0
PANCREAS,37,0,0,27,72.97,6,16.22,1,2.7,3,8.11
PAROTID GLAND,15,0,0,1,6.67,4,26.67,8,53.33,1,6.67
PELVIC FLUID,30,0,0,3,10,1,3.33,25,83.33,0,0
PERICARDIAL FLUID,16,0,0,2,12.5,1,6.25,13,81.25,0,0
PERITONEAL CAVITY,1,0,0,0,0,0,0,1,100,0,0
PERITONEAL FLUID,88,0,0,18,20.45,14,15.91,56,63.64,0,0
PLEURAL CAVITY,1,0,0,1,100,0,0,0,0,0,0
PLEURAL FLUID,182,0,0,31,17.03,14,7.69,132,72.53,0,0
RESPIRATORY,129,2,1.55,16,12.4,24,18.6,84,65.12,1,0.78
SALIVARY GLANDS,8,0,0,1,12.5,3,37.5,3,37.5,1,12.5
SMALL INTESTINE,1,0,0,1,100,0,0,0,0,0,0
SOFT TISSUE,2,0,0,0,0,0,0,1,50,0,0
SPLEEN,1,0,0,0,0,0,0,1,100,0,0
STOMACH,1,0,0,0,0,1,100,0,0,0,0
THYROID,295,0,0,1,0.34,82,27.8,204,69.15,7,2.37
URINE,17,0,0,0,0,4,23.53,13,76.47,0,0
